,structure,nsites
0,"data_image0
_chemical_formula_structural       Al4
_chemical_formula_sum              ""Al4""
_cell_length_a       3.49792
_cell_length_b       3.49792
_cell_length_c       5.56084
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.00000  0.99460  1.0000
  Al  Al2       1.0  0.00000  0.00000  0.49460  1.0000
  Al  Al3       1.0  0.50000  0.50000  0.04790  1.0000
  Al  Al4       1.0  0.50000  0.50000  0.54790  1.0000
",4
1,"data_image0
_chemical_formula_structural       Fe4
_chemical_formula_sum              ""Fe4""
_cell_length_a       3.3162
_cell_length_b       3.3162
_cell_length_c       3.80082
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Fe  Fe1       1.0  0.50000  0.50000  0.82342  1.0000
  Fe  Fe2       1.0  0.50000  0.50000  0.32342  1.0000
  Fe  Fe3       1.0  0.00000  0.50000  0.39634  1.0000
  Fe  Fe4       1.0  0.50000  0.00000  0.89634  1.0000
",4
2,"data_image0
_chemical_formula_structural       Al2Fe2
_chemical_formula_sum              ""Al2 Fe2""
_cell_length_a       3.68598
_cell_length_b       3.15772
_cell_length_c       4.71802
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.32488  0.50000  0.00000  1.0000
  Al  Al2       1.0  0.67512  0.50000  0.00000  1.0000
  Fe  Fe1       1.0  0.00000  0.50000  0.00000  1.0000
  Fe  Fe2       1.0  0.50000  0.00000  0.00000  1.0000
",4
3,"data_image0
_chemical_formula_structural       Al3Fe
_chemical_formula_sum              ""Al3 Fe1""
_cell_length_a       3.99379
_cell_length_b       3.99379
_cell_length_c       3.85467
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.50000  0.07624  1.0000
  Al  Al2       1.0  0.50000  0.00000  0.92376  1.0000
  Al  Al3       1.0  0.50000  0.50000  0.00000  1.0000
  Fe  Fe1       1.0  0.00000  0.00000  0.00000  1.0000
",4
4,"data_image0
_chemical_formula_structural       AlFe3
_chemical_formula_sum              ""Al1 Fe3""
_cell_length_a       3.97557
_cell_length_b       3.97557
_cell_length_c       3.97557
_cell_angle_alpha    109.471
_cell_angle_beta     70.5288
_cell_angle_gamma    70.5288

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.00000  0.00000  1.0000
  Fe  Fe1       1.0  0.00000  0.50000  0.50000  1.0000
  Fe  Fe2       1.0  0.50000  0.00000  0.50000  1.0000
  Fe  Fe3       1.0  0.50000  0.50000  0.00000  1.0000
",4
5,"data_image0
_chemical_formula_structural       Al4
_chemical_formula_sum              ""Al4""
_cell_length_a       4.35158
_cell_length_b       4.35158
_cell_length_c       3.59325
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.50000  0.00000  0.85665  1.0000
  Al  Al2       1.0  0.00000  0.50000  0.64335  1.0000
  Al  Al3       1.0  0.00000  0.50000  0.14335  1.0000
  Al  Al4       1.0  0.50000  0.00000  0.35665  1.0000
",4
6,"data_image0
_chemical_formula_structural       Fe4
_chemical_formula_sum              ""Fe4""
_cell_length_a       4.43494
_cell_length_b       3.14593
_cell_length_c       3.14593
_cell_angle_alpha    107.506
_cell_angle_beta     87.6301
_cell_angle_gamma    92.3699

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Fe  Fe1       1.0  0.69338  0.05255  0.46220  1.0000
  Fe  Fe2       1.0  0.30662  0.46220  0.05255  1.0000
  Fe  Fe3       1.0  0.30662  0.94745  0.53780  1.0000
  Fe  Fe4       1.0  0.69338  0.53780  0.94745  1.0000
",4
7,"data_image0
_chemical_formula_structural       Al2Fe2
_chemical_formula_sum              ""Al2 Fe2""
_cell_length_a       3.86057
_cell_length_b       3.86057
_cell_length_c       3.86057
_cell_angle_alpha    99.4038
_cell_angle_beta     99.4038
_cell_angle_gamma    99.4038

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.00000  0.00000  1.0000
  Al  Al2       1.0  0.50000  0.50000  0.50000  1.0000
  Fe  Fe1       1.0  0.25000  0.25000  0.25000  1.0000
  Fe  Fe2       1.0  0.75000  0.75000  0.75000  1.0000
",4
8,"data_image0
_chemical_formula_structural       Al3Fe
_chemical_formula_sum              ""Al3 Fe1""
_cell_length_a       3.63977
_cell_length_b       4.18168
_cell_length_c       4.18168
_cell_angle_alpha    90
_cell_angle_beta     105.052
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.00000  0.41471  0.50000  1.0000
  Al  Al2       1.0  0.00000  0.93984  0.00000  1.0000
  Al  Al3       1.0  0.50000  0.04205  0.50000  1.0000
  Fe  Fe1       1.0  0.00000  0.58194  0.00000  1.0000
",4
9,"data_image0
_chemical_formula_structural       AlFe3
_chemical_formula_sum              ""Al1 Fe3""
_cell_length_a       2.742
_cell_length_b       3.825
_cell_length_c       4.94879
_cell_angle_alpha    102.001
_cell_angle_beta     104.047
_cell_angle_gamma    76.713

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.50000  0.00000  0.50000  1.0000
  Fe  Fe1       1.0  0.33224  0.30315  0.89166  1.0000
  Fe  Fe2       1.0  0.66776  0.69685  0.10834  1.0000
  Fe  Fe3       1.0  0.00000  0.00000  0.00000  1.0000
",4
10,"data_image0
_chemical_formula_structural       Al4
_chemical_formula_sum              ""Al4""
_cell_length_a       4.08836
_cell_length_b       4.40563
_cell_length_c       3.77726
_cell_angle_alpha    90
_cell_angle_beta     90
_cell_angle_gamma    90

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Al  Al1       1.0  0.81256  0.27992  0.00000  1.0000
  Al  Al2       1.0  0.18744  0.27992  0.00000  1.0000
  Al  Al3       1.0  0.65813  0.81195  0.50000  1.0000
  Al  Al4       1.0  0.34187  0.81195  0.50000  1.0000
",4
11,"data_image0
_chemical_formula_structural       Fe4
_chemical_formula_sum              ""Fe4""
_cell_length_a       3.78648
_cell_length_b       3.78648
_cell_length_c       3.78648
_cell_angle_alpha    109.471
_cell_angle_beta     70.5288
_cell_angle_gamma    70.5288

_space_group_name_H-M_alt    ""P 1""
_space_group_IT_number       1

loop_
  _space_group_symop_operation_xyz
  'x, y, z'

loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Fe  Fe1       1.0  0.59762  0.00000  0.00000  1.0000
  Fe  Fe2       1.0  0.90238  0.59762  0.09762  1.0000
  Fe  Fe3       1.0  0.00000  0.90238  0.50000  1.0000
  Fe  Fe4       1.0  0.50000  0.50000  0.40238  1.0000
",4
